tags,hasConnection,level1_tags,coded_tags,idauthor
"['D', 'C']","['p01242', 'p01385']","['C', 'J', 'M', 'D']",[0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0],p00392
"['G', 'D']","['p00096', 'p05554']","['G', 'D']",[0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],p00395
"['G', 'F']","['p04606', 'p05081']","['G', 'E', 'F']",[0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0],p00397
"['I', 'H']","['p00897', 'p03056']","['C', 'J', 'M', 'I', 'H', 'D', 'O']",[0 0 1 1 0 0 0 1 1 1 0 0 1 0 1 0 0 0 0],p00398
"['I', 'J']","['p00897', 'p05199', 'p05379']","['C', 'J', 'M', 'I', 'H', 'D', 'O']",[0 0 1 1 0 0 0 1 1 1 0 0 1 0 1 0 0 0 0],p00399
"['G', 'E', 'D']","['p04307', 'p04008']","['G', 'E', 'D']",[0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0],p00401
"['E', 'J', 'M']","['p02090', 'p03635', 'p03671', 'p02569']","['L', 'E', 'F', 'J', 'M', 'H', 'D', 'R']",[0 0 0 1 1 1 0 1 0 1 0 1 1 0 0 0 0 1 0],p00402
"['I', 'J', 'D']","['p01147', 'p00917']","['O', 'J', 'I', 'D', 'C']",[0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0],p00403
"['E', 'D']",[],"['E', 'D']",[0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p00404
"['H', 'K', 'D']","['p01813', 'p03946']","['K', 'P', 'E', 'N', 'J', 'G', 'H', 'D', 'O']",[0 0 0 1 1 0 1 1 0 1 1 0 0 1 1 1 0 0 0],p00407
"['G', 'M']",['p05288'],"['G', 'D', 'R', 'M']",[0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0],p00408
['C'],['p01385'],"['D', 'J', 'M', 'C']",[0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0],p00409
['G'],"['p02854', 'p04293']",['G'],[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],p00410
"['E', 'J', 'D']","['p02243', 'p02758']","['E', 'J', 'I', 'H', 'D', 'R', 'C']",[0 0 1 1 1 0 0 1 1 1 0 0 0 0 0 0 0 1 0],p00414
"['G', 'D']",['p02340'],"['G', 'D']",[0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],p00416
"['D', 'C']","['p02236', 'p01252', 'p01383']","['D', 'C']",[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p00417
"['G', 'D', 'L', 'C']","['p04112', 'p01219', 'p02399']","['K', 'L', 'F', 'G', 'D', 'R', 'C']",[0 0 1 1 0 1 1 0 0 0 1 1 0 0 0 0 0 1 0],p00420
"['M', 'D', 'L', 'O']","['p03792', 'p01280']","['L', 'Q', 'Z', 'O', 'M', 'G', 'D', 'C']",[0 0 1 1 0 0 1 0 0 0 0 1 1 0 1 0 1 0 1],p00422
"['E', 'H']","['p02912', 'p05161']","['E', 'H', 'O']",[0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0],p00423
"['D', 'L']","['p01816', 'p04494']","['G', 'D', 'L']",[0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0],p00425
"['G', 'E', 'D']","['p00213', 'p01403']","['G', 'E', 'D', 'R']",[0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0],p00426
['D'],['p00368'],"['G', 'D']",[0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],p00427
"['E', 'J']",['p03448'],"['G', 'E', 'J', 'O']",[0 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0],p00428
"['A', 'Z', 'E', 'J', 'I', 'D', 'C']","['p01454', 'p00437', 'p05656', 'p03925', 'p03578']","['A', 'K', 'P', 'L', 'Z', 'E', 'F', 'I', 'C', 'J', 'G', 'H', 'D', 'O']",[1 0 1 1 1 1 1 1 1 1 1 1 0 0 1 1 0 0 1],p00430
"['L', 'E', 'J', 'D', 'O']","['p04486', 'p01198', 'p05262', 'p02148', 'p04276', 'p05363', 'p04212']","['A', 'K', 'P', 'L', 'Q', 'B', 'E', 'F', 'N', 'I', 'J', 'M', 'O', 'G', 'H', 'D', 'C']",[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0],p00432
"['H', 'D', 'L']","['p04634', 'p03143', 'p03457']","['H', 'D', 'L']",[0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0],p00435
"['A', 'E', 'J', 'G', 'D', 'C']","['p04016', 'p00430', 'p04608', 'p04378', 'p03925', 'p01928', 'p03371', 'p03578']","['A', 'K', 'P', 'L', 'Z', 'G', 'E', 'F', 'C', 'J', 'I', 'H', 'D', 'O']",[1 0 1 1 1 1 1 1 1 1 1 1 0 0 1 1 0 0 1],p00437
"['F', 'O']",['p01753'],"['F', 'O']",[0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0],p00438
['E'],['p02189'],['E'],[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p00440
"['G', 'D', 'C']",['p03360'],"['G', 'D', 'C']",[0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],p00442
"['C', 'J', 'D']","['p01085', 'p03692', 'p00533']","['P', 'G', 'F', 'J', 'I', 'D', 'C']",[0 0 1 1 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0],p00444
['D'],"['p04392', 'p05253']","['Z', 'D', 'C']",[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],p00445
"['D', 'C']","['p03088', 'p03402']","['D', 'C']",[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p00446
"['K', 'I', 'H', 'D', 'C']","['p00601', 'p01017', 'p03199', 'p01372']","['K', 'L', 'Z', 'C', 'J', 'I', 'H', 'D', 'O']",[0 0 1 1 0 0 0 1 1 1 1 1 0 0 1 0 0 0 1],p00447
"['Z', 'I']","['p02348', 'p04952']","['Q', 'Z', 'I', 'D', 'R']",[0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1],p00452
"['K', 'L', 'O']","['p01038', 'p03444']","['K', 'L', 'I', 'J', 'G', 'H', 'O']",[0 0 0 0 0 0 1 1 1 1 1 1 0 0 1 0 0 0 0],p00453
"['L', 'I', 'J', 'M', 'G', 'H', 'D', 'O']","['p01225', 'p00134', 'p01063', 'p00625', 'p00704', 'p03080', 'p02535', 'p02643', 'p03902']","['L', 'E', 'F', 'I', 'O', 'J', 'M', 'G', 'H', 'D', 'C']",[0 0 1 1 1 1 1 1 1 1 0 1 1 0 1 0 0 0 0],p00454
"['D', 'C']","['p02593', 'p00292']","['Z', 'E', 'G', 'D', 'C']",[0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1],p00455
['J'],['p00289'],"['E', 'H', 'J', 'D']",[0 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0],p00456
"['D', 'M']",['p04512'],"['D', 'M']",[0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],p00457
['E'],['p05271'],['E'],[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p00458
['C'],['p01725'],"['G', 'D', 'C']",[0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],p00459
"['Q', 'O']",['p03845'],"['Q', 'O']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0],p00461
