tags,hasConnection,level1_tags,coded_tags,idauthor
"['G', 'K', 'D']",['p02943'],"['K', 'L', 'D', 'C', 'G']",[1 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0],p00095
"['G', 'D']","['p00395', 'p05554']","['G', 'D']",[0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],p00096
"['E', 'K', 'L', 'D', 'C', 'G']","['p02561', 'p03033', 'p04422', 'p02826', 'p04410', 'p02845', 'p05237']","['E', 'K', 'L', 'D', 'O', 'N', 'H', 'J', 'C', 'G']",[1 1 1 0 1 1 0 1 1 1 0 1 1 0 0 0 0],p00097
['D'],['p02377'],['D'],[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p00100
"['E', 'K', 'D', 'O', 'F', 'N', 'H', 'R', 'J', 'Z']","['p04973', 'p01459', 'p04646', 'p04718', 'p01668', 'p01649', 'p02180', 'p01438', 'p01879', 'p04901', 'p01460', 'p04602', 'p01399', 'p01743', 'p04988', 'p01511', 'p04089', 'p04276', 'p01991']","['E', 'K', 'L', 'D', 'O', 'P', 'F', 'N', 'H', 'I', 'Q', 'R', 'M', 'J', 'C', 'G', 'Z']",[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],p00101
['D'],['p04306'],"['D', 'C', 'J', 'I']",[1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0],p00102
"['E', 'D', 'H']","['p03157', 'p04867', 'p03660', 'p02472', 'p00130']","['E', 'L', 'D', 'H', 'R', 'J', 'C', 'Z']",[1 1 1 0 0 1 0 1 0 1 0 0 0 0 0 1 1],p00103
"['K', 'L', 'J', 'O']",['p03470'],"['K', 'L', 'O', 'F', 'I', 'J']",[0 0 0 1 0 0 1 1 1 1 0 0 1 0 0 0 0],p00105
"['G', 'F']","['p02371', 'p01689']","['E', 'G', 'F', 'O']",[0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0],p00106
['J'],"['p05379', 'p02098', 'p00897']","['D', 'O', 'H', 'I', 'M', 'J', 'C']",[1 1 0 0 0 1 1 1 0 0 1 0 1 0 0 0 0],p00107
"['E', 'Z', 'D']","['p01834', 'p03243', 'p01646', 'p03542']","['E', 'D', 'M', 'J', 'C', 'Z']",[1 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1],p00108
"['E', 'D', 'O', 'F', 'H', 'I', 'Q', 'J', 'G']","['p01499', 'p03775', 'p04305', 'p00467', 'p00903', 'p01988', 'p03626', 'p01145', 'p02608', 'p04185']","['E', 'K', 'L', 'D', 'O', 'P', 'F', 'N', 'H', 'I', 'Q', 'R', 'J', 'C', 'G', 'Z']",[1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1],p00109
"['I', 'J', 'O']","['p02923', 'p00008']","['O', 'H', 'I', 'M', 'J', 'C']",[1 0 0 0 0 1 1 1 0 0 1 0 1 0 0 0 0],p00110
['E'],['p01918'],"['E', 'P', 'O']",[0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0],p00112
['D'],"['p01483', 'p03842']","['L', 'D', 'C']",[1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],p00114
"['E', 'D']",['p01997'],"['G', 'D', 'L', 'E']",[0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0],p00117
['C'],['p05339'],['C'],[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p00118
"['D', 'P', 'F', 'H', 'R', 'C']","['p05231', 'p00382']","['D', 'P', 'F', 'H', 'R', 'C']",[1 1 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0],p00120
"['K', 'L', 'D', 'O', 'N', 'J']","['p01641', 'p04252']","['K', 'L', 'D', 'O', 'N', 'I', 'J']",[0 1 0 0 0 0 1 1 1 1 0 1 1 0 0 0 0],p00122
"['L', 'D', 'C']","['p02565', 'p00144', 'p02071', 'p01947', 'p02890', 'p01331']","['L', 'D', 'C']",[1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],p00123
"['G', 'E', 'F', 'H']",['p03255'],"['G', 'E', 'F', 'H']",[0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0],p00126
"['E', 'K', 'L', 'D', 'N', 'H', 'I', 'R', 'M', 'J', 'C', 'G']","['p03312', 'p03609', 'p03948', 'p01929', 'p02031', 'p00130', 'p05320', 'p04916']","['E', 'K', 'L', 'D', 'O', 'N', 'H', 'I', 'R', 'M', 'J', 'C', 'G', 'Z']",[1 1 1 0 1 1 1 1 1 1 1 1 1 0 0 1 1],p00127
